"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2018","89.94","90.25","90.29","89.88","0","-0.42"
"Mar 01, 2018","90.32","90.67","90.93","90.21","0","-0.32"
"Feb 28, 2018","90.61","90.41","90.70","90.31","0","0.28"
"Feb 27, 2018","90.36","89.80","90.50","89.69","0","0.57"
"Feb 26, 2018","89.85","89.96","90.05","89.50","0","-0.13"
"Feb 25, 2018","89.97","89.96","89.99","89.90","0","0.10"
"Feb 23, 2018","89.88","89.78","90.06","89.76","0","0.16"
"Feb 22, 2018","89.74","90.16","90.23","89.64","0","-0.29"
"Feb 21, 2018","90.00","89.71","90.16","89.59","0","0.31"
"Feb 20, 2018","89.72","89.24","89.80","89.22","0","0.70"
"Feb 19, 2018","89.10","89.10","89.44","88.95","0","0.00"
"Feb 16, 2018","89.10","88.57","89.23","88.25","0","0.58"
"Feb 15, 2018","88.59","88.96","89.00","88.54","0","-0.59"
"Feb 14, 2018","89.12","89.69","90.12","88.94","0","-0.65"
"Feb 13, 2018","89.70","90.09","90.18","89.61","0","-0.57"
"Feb 12, 2018","90.21","90.35","90.43","90.07","0","-0.25"
"Feb 09, 2018","90.44","90.25","90.56","90.12","0","0.23"
"Feb 08, 2018","90.23","90.27","90.57","90.01","0","-0.02"
"Feb 07, 2018","90.25","89.63","90.40","89.47","0","0.75"
"Feb 06, 2018","89.58","89.66","90.03","89.37","0","0.03"
"Feb 05, 2018","89.55","89.35","89.70","89.02","0","0.40"
"Feb 02, 2018","89.19","88.64","89.42","88.59","0","0.59"
"Feb 01, 2018","88.67","89.04","89.33","88.56","0","-0.52"
"Jan 31, 2018","89.13","89.10","89.30","88.78","0","-0.03"
"Jan 30, 2018","89.16","89.36","89.64","88.91","0","-0.17"
"Jan 29, 2018","89.31","89.11","89.62","89.01","0","0.27"
"Jan 26, 2018","89.07","89.40","89.58","88.44","0","-0.36"
"Jan 25, 2018","89.39","89.32","90.11","89.16","0","0.20"
"Jan 24, 2018","89.21","90.00","90.59","89.16","0","-1.01"
"Jan 23, 2018","90.12","90.39","90.70","90.06","0","-0.31"
"Jan 22, 2018","90.40","90.44","90.70","90.16","0","-0.19"
"Jan 19, 2018","90.57","90.50","90.98","90.41","0","0.08"
"Jan 18, 2018","90.50","90.78","91.00","90.11","0","-0.04"
"Jan 17, 2018","90.54","90.41","90.82","90.34","0","0.17"
"Jan 16, 2018","90.39","90.44","90.83","90.34","0","-0.64"
"Jan 15, 2018","90.97","90.94","90.97","90.28","0","0.00"
"Jan 12, 2018","90.97","91.85","91.88","90.90","0","-0.96"
"Jan 11, 2018","91.85","92.33","92.55","91.79","0","-0.52"
"Jan 10, 2018","92.33","92.57","92.58","91.92","0","-0.22"
"Jan 09, 2018","92.53","92.34","92.64","92.21","0","0.18"
"Jan 08, 2018","92.36","92.06","92.40","91.88","0","0.45"
"Jan 05, 2018","91.95","91.87","92.10","91.78","0","0.11"
"Jan 04, 2018","91.85","92.22","92.26","91.80","0","-0.34"
"Jan 03, 2018","92.16","91.82","92.26","91.81","0","0.32"
"Jan 02, 2018","91.87","92.24","92.25","91.75","0","-0.41"
"Jan 01, 2018","92.25","92.29","92.32","92.18","0","-0.04"
"Dec 31, 2017","92.28","92.28","92.28","92.28","0","0.18"
"Dec 29, 2017","92.12","92.67","92.67","92.08","0","-0.52"
"Dec 28, 2017","92.60","93.00","93.02","92.57","0","-0.46"
"Dec 27, 2017","93.03","93.30","93.31","92.96","0","-0.25"
"Dec 26, 2017","93.26","93.25","93.40","93.20","0","-0.10"
"Dec 25, 2017","93.35","93.37","93.40","93.19","0","0.00"
"Dec 22, 2017","93.35","93.37","93.56","93.31","0","0.08"
"Dec 21, 2017","93.28","93.31","93.50","93.23","0","-0.03"
"Dec 20, 2017","93.31","93.50","93.53","93.16","0","-0.14"
"Dec 19, 2017","93.44","93.71","93.76","93.43","0","-0.27"
"Dec 18, 2017","93.69","93.98","94.03","93.38","0","-0.26"
"Dec 15, 2017","93.93","93.65","94.00","93.41","0","0.47"
"Dec 14, 2017","93.49","93.41","93.76","93.28","0","0.06"
"Dec 13, 2017","93.43","94.06","94.11","93.39","0","-0.71"
"Dec 12, 2017","94.10","93.91","94.22","93.76","0","0.25"
"Dec 11, 2017","93.87","93.93","93.98","93.67","0","-0.03"
"Dec 08, 2017","93.90","93.79","94.09","93.77","0","0.11"
"Dec 07, 2017","93.80","93.54","93.80","93.51","0","0.20"
"Dec 06, 2017","93.61","93.31","93.65","93.17","0","0.25"
"Dec 05, 2017","93.38","93.08","93.49","93.03","0","0.20"
"Dec 04, 2017","93.19","93.17","93.36","93.07","0","0.32"
"Dec 01, 2017","92.89","93.03","93.25","92.60","0","-0.17"
"Nov 30, 2017","93.05","93.26","93.50","92.73","0","-0.12"
"Nov 29, 2017","93.16","93.22","93.44","92.99","0","-0.12"
"Nov 28, 2017","93.27","92.89","93.34","92.83","0","0.40"
"Nov 27, 2017","92.90","92.73","92.98","92.50","0","0.13"
"Nov 24, 2017","92.78","93.12","93.25","92.67","0","-0.47"
"Nov 23, 2017","93.22","93.30","93.31","93.07","0","0.00"
"Nov 22, 2017","93.22","93.93","93.96","93.21","0","-0.78"
"Nov 21, 2017","93.95","94.04","94.17","93.88","0","-0.14"
"Nov 20, 2017","94.08","93.71","94.10","93.58","0","0.45"
"Nov 17, 2017","93.66","93.87","93.93","93.51","0","-0.29"
"Nov 16, 2017","93.93","93.84","94.00","93.77","0","0.13"
"Nov 15, 2017","93.81","93.86","93.93","93.40","0","-0.02"
"Nov 14, 2017","93.83","94.52","94.54","93.75","0","-0.70"
"Nov 13, 2017","94.49","94.42","94.64","94.40","0","0.11"
"Nov 10, 2017","94.39","94.50","94.65","94.26","0","-0.05"
"Nov 09, 2017","94.44","94.88","94.96","94.42","0","-0.45"
"Nov 08, 2017","94.87","94.80","94.97","94.78","0","-0.04"
"Nov 07, 2017","94.91","94.72","95.15","94.70","0","0.16"
