"Date","Price","Open","High","Low","Vol.","Change"
"Mar 07, 2018","97.69","97.59","97.81","97.51","0","0.11"
"Mar 06, 2018","97.59","97.17","97.67","97.10","0","0.43"
"Mar 05, 2018","97.17","96.94","97.19","96.62","0","0.23"
"Mar 04, 2018","96.94","96.96","97.25","96.82","0","-0.02"
"Mar 03, 2018","96.96","96.96","96.96","96.96","0","0.00"
"Mar 02, 2018","96.96","96.71","97.09","96.54","0","0.26"
"Mar 01, 2018","96.71","96.24","96.74","96.07","0","0.49"
"Feb 28, 2018","96.24","96.41","96.48","96.22","0","-0.17"
"Feb 27, 2018","96.41","96.92","97.11","96.40","0","-0.53"
"Feb 26, 2018","96.92","96.79","97.03","96.68","0","0.31"
"Feb 25, 2018","96.62","96.79","96.79","96.62","0","-0.18"
"Feb 24, 2018","96.79","96.79","96.79","96.79","0","0.00"
"Feb 23, 2018","96.79","96.95","96.98","96.66","0","-0.16"
"Feb 22, 2018","96.95","96.76","97.12","96.63","0","0.19"
"Feb 21, 2018","96.76","97.05","97.17","96.74","0","-0.29"
"Feb 20, 2018","97.05","97.33","97.42","96.96","0","-0.29"
"Feb 19, 2018","97.33","97.30","97.45","97.14","0","0.04"
"Feb 18, 2018","97.29","97.24","97.34","96.59","0","0.06"
"Feb 17, 2018","97.24","97.24","97.24","97.24","0","0.00"
"Feb 16, 2018","97.24","97.86","98.14","97.23","0","-0.66"
"Feb 15, 2018","97.88","97.78","97.98","97.68","0","0.11"
"Feb 14, 2018","97.78","97.30","97.81","96.81","0","0.49"
"Feb 13, 2018","97.30","97.09","97.41","96.98","0","0.22"
"Feb 12, 2018","97.09","96.80","97.13","96.67","0","0.29"
"Feb 11, 2018","96.80","96.78","96.90","96.74","0","0.03"
"Feb 10, 2018","96.78","96.78","96.78","96.78","0","0.00"
"Feb 09, 2018","96.78","96.71","97.01","96.46","0","0.07"
"Feb 08, 2018","96.71","96.91","97.10","96.48","0","-0.21"
"Feb 07, 2018","96.91","97.59","97.67","96.76","0","-0.70"
"Feb 06, 2018","97.60","97.44","97.91","97.19","0","0.16"
"Feb 05, 2018","97.44","97.93","98.07","97.21","0","-0.51"
"Feb 04, 2018","97.93","98.01","98.03","97.83","0","-0.08"
