antecedants,consequents,antecedent support,consequent support,support,confidence,lift
"nfl, stand",national anthem,0.00669456,0.01506276,0.00585774,0.875,58.09027778
"hit, coming back",record high,0.00167364,0.01004184,0.00167364,1.0,99.58333333
"coming back, record high",hit,0.00167364,0.02259414,0.00167364,1.0,44.25925926
"record high, yesterday",hit,0.00167364,0.02259414,0.00167364,1.0,44.25925926
"hit, cut",record high,0.00167364,0.01004184,0.00167364,1.0,99.58333333
"massive, election",cut,0.00251046,0.09790795,0.00251046,1.0,10.21367521
"dem, order",election,0.00167364,0.08368201,0.00167364,1.0,11.95
"corker, cut",bob,0.00251046,0.01004184,0.00251046,1.0,99.58333333
"massive, mandate",cut,0.00167364,0.09790795,0.00167364,1.0,10.21367521
"massive, unemployment",cut,0.0041841,0.09790795,0.00334728,0.8,8.17094017
"massive, promised",cut,0.00251046,0.09790795,0.00251046,1.0,10.21367521
"cut, promised",massive,0.00251046,0.04686192,0.00251046,1.0,21.33928571
"massive, healthcare",cut,0.00251046,0.09790795,0.00251046,1.0,10.21367521
"massive, delivering",cut,0.00167364,0.09790795,0.00167364,1.0,10.21367521
"justice, unemployment",cut,0.00167364,0.09790795,0.00167364,1.0,10.21367521
"justice, healthcare",cut,0.00167364,0.09790795,0.00167364,1.0,10.21367521
"justice, healthcare",massive,0.00167364,0.04686192,0.00167364,1.0,21.33928571
"massive, unemployment, election",cut,0.00167364,0.09790795,0.00167364,1.0,10.21367521
"cut, unemployment, election",massive,0.00167364,0.04686192,0.00167364,1.0,21.33928571
"massive, justice, cut",healthcare,0.00167364,0.05271967,0.00167364,1.0,18.96825397
"massive, justice, healthcare",cut,0.00167364,0.09790795,0.00167364,1.0,10.21367521
"justice, cut, healthcare",massive,0.00167364,0.04686192,0.00167364,1.0,21.33928571
"justice, healthcare","massive, cut",0.00167364,0.02008368,0.00167364,1.0,49.79166667
