"Date","Price","Open","High","Low","Vol.","Change"
"Mar 07, 2018","47662.12","47815.70","47831.92","47529.77","173.03M","-0.46"
"Mar 06, 2018","47884.63","47825.47","48233.35","47617.75","176.24M","0.34"
"Mar 05, 2018","47720.91","47628.81","47827.40","47217.98","153.08M","0.36"
"Mar 02, 2018","47548.10","47513.44","47683.49","47034.82","140.15M","-0.11"
"Mar 01, 2018","47599.42","47470.67","47800.56","47157.11","186.23M","0.34"
"Feb 28, 2018","47437.93","48055.39","48062.13","47231.79","276.73M","-1.11"
"Feb 27, 2018","47970.19","48481.90","48532.55","47886.36","167.33M","-1.02"
"Feb 26, 2018","48463.44","48662.29","48713.99","48240.32","146.54M","-0.37"
"Feb 23, 2018","48643.43","49176.31","49176.31","48488.18","122.44M","-0.67"
"Feb 22, 2018","48969.64","48552.29","49086.63","48538.90","180.20M","0.89"
"Feb 21, 2018","48535.59","48749.05","48930.70","48431.97","152.63M","-0.31"
"Feb 20, 2018","48685.19","48913.12","48955.16","48492.19","145.27M","-0.50"
"Feb 19, 2018","48928.48","48886.97","49198.14","48820.53","17.14M","0.09"
"Feb 16, 2018","48882.78","48831.25","49378.25","48621.12","135.87M","0.15"
"Feb 15, 2018","48808.39","48547.85","48984.22","48378.02","196.89M","0.84"
"Feb 14, 2018","48400.75","47871.59","48560.26","47758.96","156.70M","0.99"
"Feb 13, 2018","47926.73","47892.47","47995.86","47675.48","136.95M","0.20"
"Feb 12, 2018","47830.49","47950.63","48234.74","47504.60","140.37M","0.07"
"Feb 09, 2018","47799.09","47998.80","48139.85","46985.81","187.47M","-0.13"
"Feb 08, 2018","47862.10","49054.75","49054.75","47726.13","260.88M","-2.28"
"Feb 07, 2018","48976.45","49247.64","49504.98","48853.69","191.36M","-0.67"
"Feb 06, 2018","49304.94","49023.33","49709.92","48681.96","249.45M","-2.16"
"Feb 02, 2018","50395.83","50388.00","50513.31","49900.47","141.40M","-0.39"
"Feb 01, 2018","50591.15","50425.84","50926.96","50420.76","178.40M","0.27"
"Jan 31, 2018","50456.17","50385.95","50566.66","50127.01","199.87M","0.15"
"Jan 30, 2018","50382.86","50461.54","50556.41","49928.62","135.25M","-0.50"
"Jan 29, 2018","50636.32","51081.47","51121.23","50520.28","157.83M","-0.84"
"Jan 26, 2018","51065.49","50772.37","51107.51","50340.13","207.90M","0.57"
"Jan 25, 2018","50777.90","50821.83","51100.03","50625.56","217.70M","0.06"
"Jan 24, 2018","50746.93","50178.18","50879.61","50145.41","209.36M","0.97"
"Jan 23, 2018","50260.25","50030.56","50306.88","49884.91","169.11M","0.57"
"Jan 22, 2018","49974.48","49711.51","50034.50","49709.20","160.70M","0.56"
"Jan 19, 2018","49695.56","49883.64","49987.73","49660.01","170.29M","-0.43"
"Jan 18, 2018","49911.97","49681.18","49958.33","49620.16","132.01M","0.36"
"Jan 17, 2018","49730.51","49499.23","49804.96","49450.85","169.44M","0.48"
"Jan 16, 2018","49491.72","49292.38","49612.22","49290.12","160.83M","0.25"
"Jan 15, 2018","49368.58","49183.59","49455.31","49121.85","27.70M","0.47"
"Jan 12, 2018","49135.91","48764.91","49429.03","48521.61","175.40M","0.69"
"Jan 11, 2018","48799.39","48840.16","49026.05","48408.75","203.71M","0.03"
"Jan 10, 2018","48785.25","49666.23","49741.02","48722.27","178.89M","-1.84"
"Jan 09, 2018","49701.37","50002.03","50162.75","49543.21","209.33M","-0.59"
"Jan 08, 2018","49995.57","49916.57","50233.62","49891.07","150.48M","0.22"
"Jan 05, 2018","49887.74","49929.52","50079.03","49712.54","156.15M","0.29"
"Jan 04, 2018","49744.62","49800.36","50128.47","49704.25","182.74M","-0.08"
"Jan 03, 2018","49782.23","50093.31","50093.31","49735.91","145.27M","-0.50"
"Jan 02, 2018","50033.95","49376.26","50083.02","49328.60","106.59M","1.38"
"Dec 29, 2017","49354.42","48880.39","49388.98","48874.16","88.57M","1.01"
"Dec 28, 2017","48861.94","48659.43","48999.50","48640.11","67.28M","0.43"
"Dec 27, 2017","48652.56","48470.87","48810.87","48425.71","68.56M","0.42"
"Dec 26, 2017","48451.33","48473.31","48801.28","48198.17","69.96M","0.13"
"Dec 22, 2017","48387.93","48429.97","48590.57","48232.84","103.49M","-0.24"
"Dec 21, 2017","48503.31","48418.09","48767.24","48402.32","132.49M","0.23"
"Dec 20, 2017","48390.39","48449.24","48536.73","48191.28","186.69M","-0.03"
"Dec 19, 2017","48403.03","48636.52","48792.24","48368.90","234.46M","-0.48"
"Dec 18, 2017","48634.54","48082.82","48733.58","48071.02","259.22M","1.15"
