antecedants,consequents,antecedent support,consequent support,support,confidence,lift
"playing, national anthem",nfl,0.00170358,0.01703578,0.00170358,1.0,58.7
"playing, nfl",national anthem,0.00170358,0.0153322,0.00170358,1.0,65.22222222
"playing, worker",level,0.00170358,0.0229983,0.00170358,1.0,43.48148148
"hacking, discussed",dnc,0.00170358,0.01959114,0.00170358,1.0,51.04347826
"dnc, discussed",hacking,0.00170358,0.0076661,0.00170358,1.0,130.44444444
"agenda, jones",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"agenda, military",jones,0.00170358,0.0076661,0.00170358,1.0,130.44444444
"drug, make",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"daca, drug",military,0.00255537,0.06473595,0.00255537,1.0,15.44736842
"drug, military",daca,0.00255537,0.03236797,0.00255537,1.0,30.89473684
"daca, stop",military,0.00255537,0.06473595,0.00255537,1.0,15.44736842
"daca, money",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"money, military",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"corker, negative",bob,0.00170358,0.01022147,0.00170358,1.0,97.83333333
"negative, bob",corker,0.00170358,0.0076661,0.00170358,1.0,130.44444444
"iran, negative",corker,0.00170358,0.0076661,0.00170358,1.0,130.44444444
"corker, negative",iran,0.00170358,0.01788756,0.00170358,1.0,55.9047619
"iran, corker",bob,0.00255537,0.01022147,0.00255537,1.0,97.83333333
"iran, bob",corker,0.00255537,0.0076661,0.00255537,1.0,130.44444444
"fool, leader",billion,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"fool, billion",leader,0.00170358,0.03662692,0.00170358,1.0,27.30232558
"iran, negative",bob,0.00170358,0.01022147,0.00170358,1.0,97.83333333
"negative, bob",iran,0.00170358,0.01788756,0.00170358,1.0,55.9047619
"drug, make",stop,0.00170358,0.02640545,0.00170358,1.0,37.87096774
"drug, make",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"make, part",billion,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"billion, part",make,0.00170358,0.07155026,0.00170358,1.0,13.97619048
"drug, money",stop,0.00170358,0.02640545,0.00170358,1.0,37.87096774
"money, stop",drug,0.00170358,0.01873935,0.00170358,1.0,53.36363636
"safety, stop",drug,0.00170358,0.01873935,0.00170358,1.0,53.36363636
"drug, make, stop",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"drug, military, stop",make,0.00170358,0.07155026,0.00170358,1.0,13.97619048
"military, make, stop",drug,0.00170358,0.01873935,0.00170358,1.0,53.36363636
"drug, make, military",stop,0.00170358,0.02640545,0.00170358,1.0,37.87096774
"drug, make","military, stop",0.00170358,0.00340716,0.00170358,1.0,293.5
"daca, drug, make",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"daca, make, military",drug,0.00170358,0.01873935,0.00170358,1.0,53.36363636
"drug, make, military",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"drug, make","daca, military",0.00170358,0.0076661,0.00170358,1.0,130.44444444
"daca, make, stop",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"daca, make, military",stop,0.00170358,0.02640545,0.00170358,1.0,37.87096774
"military, make, stop",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"daca, drug, stop",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"drug, military, stop",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"iran, corker, negative",bob,0.00170358,0.01022147,0.00170358,1.0,97.83333333
"iran, negative, bob",corker,0.00170358,0.0076661,0.00170358,1.0,130.44444444
"corker, negative, bob",iran,0.00170358,0.01788756,0.00170358,1.0,55.9047619
"iran, negative","corker, bob",0.00170358,0.00596252,0.00170358,1.0,167.71428571
"corker, negative","iran, bob",0.00170358,0.00255537,0.00170358,1.0,391.33333333
"negative, bob","iran, corker",0.00170358,0.00255537,0.00170358,1.0,391.33333333
"daca, drug, make",stop,0.00170358,0.02640545,0.00170358,1.0,37.87096774
"daca, drug, stop",make,0.00170358,0.07155026,0.00170358,1.0,13.97619048
"daca, make, stop",drug,0.00170358,0.01873935,0.00170358,1.0,53.36363636
"drug, make, stop",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"drug, make","daca, stop",0.00170358,0.00255537,0.00170358,1.0,391.33333333
"daca, drug, make, stop",military,0.00170358,0.06473595,0.00170358,1.0,15.44736842
"daca, drug, military, stop",make,0.00170358,0.07155026,0.00170358,1.0,13.97619048
"daca, drug, make, military",stop,0.00170358,0.02640545,0.00170358,1.0,37.87096774
"daca, military, make, stop",drug,0.00170358,0.01873935,0.00170358,1.0,53.36363636
"drug, make, military, stop",daca,0.00170358,0.03236797,0.00170358,1.0,30.89473684
"daca, drug, stop","make, military",0.00170358,0.00340716,0.00170358,1.0,293.5
"daca, drug, make","military, stop",0.00170358,0.00340716,0.00170358,1.0,293.5
"daca, make, stop","drug, military",0.00170358,0.00255537,0.00170358,1.0,391.33333333
"daca, make, military","drug, stop",0.00170358,0.00511073,0.00170358,1.0,195.66666667
"drug, make, stop","daca, military",0.00170358,0.0076661,0.00170358,1.0,130.44444444
"drug, military, stop","daca, make",0.00170358,0.00511073,0.00170358,1.0,195.66666667
"drug, make, military","daca, stop",0.00170358,0.00255537,0.00170358,1.0,391.33333333
"military, make, stop","daca, drug",0.00170358,0.00255537,0.00170358,1.0,391.33333333
"drug, make","daca, military, stop",0.00170358,0.00255537,0.00170358,1.0,391.33333333
