Text,Date_with_affect,Date,Price,Open,High,Low,Change
"@CNN just released a book called ""Unprecedented"" which explores the 2016 race and victory. Hope it does well but used worst cover photo of me!",2017-01-02,2017-01-02,102.83,102.38,102.94,102.21,0.61
"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",2017-01-02,2017-01-02,102.83,102.38,102.94,102.21,0.61
"China has been taking out massive amounts of money and wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And, it is lousy healthcare.",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it .....may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for INNOVATION and JOB CREATION.",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.,2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"""Trump is already delivering the jobs he promised America"" ",2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,2017-01-03,2017-01-03,103.21,102.88,103.82,102.59,0.37
"Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the ""Movement""",2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!",2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday, perhaps more time needed to build a case. Very strange!",2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.,2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
"""@FoxNews: Julian Assange on U.S. media coverage: ""It's very dishonest."" #Hannity More dishonest than anyone knows",2017-01-04,2017-01-04,102.7,103.17,103.44,102.39,-0.49
"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is time for Republicans and Democrats to get together and come up with a healthcare plan that really works - much less expensive and FAR BETTER!",2017-01-05,2017-01-05,101.52,102.45,102.51,101.3,-1.15
"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",2017-01-05,2017-01-05,101.52,102.45,102.51,101.3,-1.15
"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",2017-01-05,2017-01-05,101.52,102.45,102.51,101.3,-1.15
Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,2017-01-06,2017-01-06,102.22,101.4,102.29,101.37,0.69
I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,2017-01-06,2017-01-06,102.22,101.4,102.29,101.37,0.69
"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast and Steven Newhouse, a friend. Will go this AM.",2017-01-06,2017-01-06,102.22,101.4,102.29,101.37,0.69
